county,htot,coname,pop,hpc,hpk
Adams,79,Adams County,19870,0.003975843,3.975842979
Asotin,173,Asotin County,22290,0.007761328,7.76132795
Benton,456,Benton County,193500,0.002356589,2.356589147
Chelan,158.5,Chelan County,76830,0.002062996,2.062996225
Clallam,713,Clallam County,74240,0.009603987,9.603987069
Clark,2039,Clark County,471000,0.004329087,4.329087049
Columbia,12,Columbia County,4100,0.002926829,2.926829268
Cowlitz,873,Cowlitz County,105900,0.008243626,8.243626062
Douglas,158.5,Douglas County,41420,0.003826654,3.82665379
Ferry,32,Ferry County,7740,0.004134367,4.134366925
Franklin,456,Franklin County,90330,0.005048157,5.048156759
Garfield,6,Garfield County,2200,0.002727273,2.727272727
Grant,393,Grant County,95630,0.004109589,4.109589041
Grays Harbor,883,Grays Harbor County,72970,0.012100863,12.10086337
Island,174,Island County,82790,0.002101703,2.101703104
Jefferson,226,Jefferson County,31360,0.007206633,7.206632653
King,13419,King County,2153700,0.006230673,6.230672796
Kitsap,1188,Kitsap County,264300,0.004494892,4.494892168
Kittitas,107,Kittitas County,44730,0.002392131,2.392130561
Klickitat,87,Klickitat County,21660,0.00401662,4.016620499
Lewis,579,Lewis County,77440,0.007476756,7.476756198
Lincoln,19,Lincoln County,10700,0.001775701,1.775700935
Mason,531,Mason County,63190,0.008403228,8.403228359
Okanogan,102,Okanogan County,42110,0.002422227,2.422227499
Pacific,82,Pacific County,21250,0.003858824,3.858823529
Pend Oreille,45,Pend Oreille County,13370,0.003365744,3.365744203
Pierce,6541,Pierce County,859400,0.007611124,7.61112404
San Juan,23,San Juan County,16510,0.001393095,1.393095094
Skagit,542,Skagit County,124100,0.004367446,4.367445608
Skamania,45,Skamania County,11690,0.003849444,3.849443969
Snohomish,3840,Snohomish County,789400,0.004864454,4.864454016
Spokane,3004,Spokane County,499800,0.006010404,6.010404162
Stevens,160,Stevens County,44510,0.003594698,3.594697821
Thurston,1952,Thurston County,276900,0.007049476,7.049476345
Wahkiakum,18,Wahkiakum County,4030,0.004466501,4.466501241
Walla Walla,0,Walla Walla County,61400,0,0
Whatcom,1086,Whatcom County,216300,0.005020804,5.020804438
Whitman,0,Whitman County,48640,0,0
Yakima,1409,Yakima County,253000,0.00556917,5.56916996
